"","control1","control2","control3","control4","case1","case2","case3"
"REEP1",7.83701449863314,8.0873414208455,7.98363087288156,7.37295399744774,6.5175442555412,6.51123130598868,6.00163730777472
"TMEM135",7.47604303707888,7.68272006351823,6.92666131843554,7.30769446649323,6.48553138258945,6.00310357516335,6.15391046709199
"MARCKSL1",8.67981067043565,9.08897031824872,9.39905010097034,9.14760542565351,10.6922290666509,10.8141659170134,11.0233819033187
"SOWAHC",7.41648615846447,7.59987088892923,7.59631072962163,7.57631853974739,8.96038283873749,8.77810067047027,8.98980706344967
"WNK1",9.4696484050894,9.56845593358189,9.31335548281541,9.11931463728051,7.71193194450808,8.10976388792566,8.30423616114795
"SLC6A8",7.77508309250319,7.47691888589732,8.03981276134081,8.39514230010711,8.65012890685428,8.81504494688944,9.33725986418849
"SLC7A1",9.69229457733872,9.97929350346664,10.2467449138655,10.1706163201292,8.41498257462847,8.88814406093137,8.75577484459456
"BMPR1A",6.36657020299681,6.82156574510093,6.60311351641291,6.1849223904564,3.77318281805867,4.34188926741294,4.35181172136901
"C11orf95",6.80160831924274,7.22380936252196,7.0983458629411,6.95034375361261,7.90503299401658,8.1143009531778,8.45266296827623
"TRAK2",7.50707029141806,7.50707029141806,8.46624825317614,8.07326662398742,6.22153023637582,7.3627315926292,6.96761318852585
"SNRPD1",9.47460768828891,9.86065444083208,9.894054455652,9.70981174007981,8.3316594830347,8.71439561715405,9.0345288774626
"SON",9.20043340322683,9.69911779955903,9.5951532990999,9.45462241998186,7.95375035889975,8.73688802295489,8.56290769010565
"SOS2",5.67966637522265,5.83767176218635,5.65260742770241,5.46911608077238,4.45035197984805,4.67444031247687,4.50245756586374
"SOX9",7.69414444384234,6.84591260612916,6.98712149496535,6.64073586744108,8.26296646081182,8.56854448631056,8.203729947535
"DST",8.67795461639799,9.15217884361678,9.191461648313,8.56684804159876,7.55487441370023,8.22646863343581,7.88674328963904
"SRPK2",6.85869539800169,7.30319923204192,7.24643594777742,7.20098376353733,4.5020875102838,5.36697856226402,5.57952021970638
"ITPRID2",9.36712271443358,9.71629332661263,9.25769283445847,9.08811583323786,7.90203955376864,8.31759891316862,8.75369977783148
"SS18",7.74402700005297,7.60690384880512,7.00491953903401,7.16798343053232,6.01841532776956,6.73350087883432,6.16949968936161
"STAU1",10.3032518919511,10.6179090530754,10.63418360846,10.782410590055,9.33903883095801,9.78342198108773,9.51428014856713
"NEK4",6.46577267111616,7.03301664105957,6.63768433674068,6.9068230805085,5.09735924526869,5.63629257721202,6.01422384741125
"STK3",6.52128444117556,7.00034566654878,7.151222264322,7.03804918903301,5.49721038149706,5.70221361761215,5.58768847959998
"AURKA",10.0902373048005,10.3274420386055,10.5256511040461,10.3725322283374,8.35450789466512,8.58747087240658,8.75606739328049
"SVIL",8.14029270085021,8.05713736858443,7.47906679705199,7.38944452144955,6.09106006907243,6.13703629538267,5.83593292285883
"TAF2",7.27793230563063,8.00094923414779,7.90801426948454,7.69292365717122,6.05688033789734,6.92083474792045,6.72633806492827
"TAF7",8.98955619968006,9.35513070436799,8.92962010983759,8.75092540713963,10.2854992606878,10.1550459772534,10.4272959065628
"TBCC",8.02336666050165,8.00691433927812,7.64082717760312,7.71875059613968,9.55099076526062,9.17170486539148,9.45096879321196
"TBL1X",8.40402268863589,8.83042241085868,8.6918363470027,9.04791084326878,6.41739291920636,6.82756305304294,6.84976393836909
"TCF7L2",8.59760593235228,8.98757134552247,8.89338020595696,8.67168607830267,6.27242438352469,6.60006398015251,6.80617921860195
"ZEB1",6.57391659401859,7.1114301574733,6.93926120197176,6.91463860336518,4.53125186013891,4.95943902603076,4.74128969083559
"TCF12",9.01193026223462,9.63818954384933,9.33342032442158,9.06340601821034,6.887043164859,6.86706359691376,7.01447943868173
"BUB1",8.19219452482231,8.25897683491037,8.07858402890479,8.28233614705155,6.58672608433953,6.76728702128522,6.97015885062385
"BUB1B",9.67786278349299,10.0312503444125,9.98772294355966,9.71234533427329,7.23886462961509,7.81935659819368,7.74521763834121
"TFAM",7.13351092070346,7.75236679683352,7.73338189962271,7.83216043419639,8.6747836402768,8.72991246757237,9.08893761877849
"THBD",6.02769759057942,5.70610206455818,5.65459534625179,5.70975884721798,7.20640989416169,6.9273389150288,7.55421663025399
"TIA1",5.59880827926882,6.16336863830443,5.67212536505737,5.5480372167107,4.40852731455683,4.76150889485048,5.02292776474464
"TJP1",9.41287892346596,9.74347880763656,10.0161208890866,9.57496121843799,7.33210749784624,8.53773437106152,8.17951405419938
"TMPO",7.84267173600164,7.90012234847695,7.86345274621361,7.36334479311493,5.84259730340383,6.68465877910764,5.34572299916011
"TNFAIP3",7.22692785955276,6.98018376408456,6.16744960610058,6.47716551381586,7.54707135302442,8.21556048694007,7.77861750379701
"TNFAIP6",6.77463473613256,6.72390449147521,6.32617987306492,6.02626890934941,8.72557137544332,8.65040751460697,8.38380333411811
"TOP2A",9.79467025001216,9.77524824132561,9.90450135874337,9.50929988495123,8.06224303229122,8.99500750421383,8.67282657184955
"TPBG",9.45097356342197,9.48866089931986,9.14004679306949,9.25446734017245,10.8813615782392,10.6196351730052,10.9295014533165
"TRIO",8.61407877247341,8.61886709378652,9.01109089805098,8.34946164975025,6.37972782787744,6.78516891341489,6.05522598196417
"PHLDA2",9.7849527245874,10.3008063560694,9.48354532150172,9.69215728085072,10.8368197708458,11.1761124108697,11.146398965219
"TUBB2A",7.91057789817159,8.22109389416247,8.45329289921603,8.50499515289425,10.062886956434,10.1284832468545,10.512473893001
"HIRA",6.9765588250284,7.86869407964828,6.739820459752,6.58576288543248,6.36043889974842,5.54558014401289,5.98534201353653
"TXNRD1",11.2378802997889,11.6325642782163,11.6889374026606,11.6902403221302,9.70275264228771,10.5754088615702,9.99926694433013
"UBE2B",7.24080784700228,7.31768134830842,7.07612335024767,6.93753359113573,5.81221036393728,5.86638905036087,6.05085568228361
"UBE2G1",8.92502695177221,9.10064751413177,8.53686841021131,8.37028845793198,7.17720050342583,7.70414862058335,7.57006552978129
"UBE2H",8.90131622921279,8.65848857778987,8.39617009611746,8.55215376081391,7.48036287044024,8.04841720742541,7.28124851042191
