"","control1","control2","control3","control4","case1","case2","case3"
"202647_s_at",9.33757257270542,9.22675597150167,8.91371750671095,8.86394525382025,8.83160415506443,9.39159973360513,8.57228653355478
"202648_at",7.07289144672448,6.93092819017886,7.13201935144018,6.99440670283062,6.99440670283062,7.02172385775425,6.99440670283062
"202649_x_at",12.6474747875617,12.9392370874982,12.7906345102077,12.9991033389477,12.9696142022384,13.0877710315557,12.9392370874982
"202650_s_at",7.09884088885721,6.68635860263798,7.08224458637058,6.86394000672144,6.86394000672144,6.74476680205286,6.99864772074831
"202651_at",8.35526226533683,8.70210411995659,8.51991559996855,8.09166999946728,6.36338188503749,7.15005499415871,7.08819967818097
"202652_at",6.4951024295146,6.45093844856514,6.66546932246926,6.97565710838562,6.66546932246926,6.99534986297051,6.81066726666474
"202653_s_at",7.07675532115711,7.80989572166659,7.3072735379521,7.06312811697077,6.14019368902691,6.76762418714568,6.81199826551485
"202654_x_at",7.22727023754594,7.15745384120729,6.74658614318124,6.28805333345765,5.44073964020911,6.24711967044249,6.05334648511262
"202655_at",10.3545630180455,10.1201568177448,10.0778964973871,10.2719382048974,10.5222145013229,10.5048701229296,10.6798646634842
"202656_s_at",6.8846690382929,7.27154374495535,7.33654313105026,7.26726893356363,7.99170558478311,8.46244367762828,8.44278953173663
"202657_s_at",6.32597110775702,6.55935375965005,6.82193097364545,6.22438091499825,7.12258474144259,7.21337887486307,7.71663865614788
"202658_at",7.11769580505247,7.25193614370046,7.34556590913668,7.3896708145735,7.25193614370046,7.10371505214532,7.41831780911773
"202659_at",7.4486068964253,7.54447620697763,7.72675720538802,8.24797130054337,7.88041310934714,7.93416305515284,8.09744416331544
"202660_at",3.46954771735079,3.6779460287495,3.46944232237873,3.55062380474868,3.48538573423083,3.37109939611068,3.5403736784218
"202661_at",4.44398100263565,4.65267014101319,4.52177086345333,4.67056035413882,4.40790215279125,4.2026209866288,4.44398100263565
"202662_s_at",6.21368840773359,6.21368840773359,6.1663409472882,6.45082452835296,6.24911553991553,6.21368840773359,6.06580780623489
"202663_at",5.52277497375136,5.51775973991097,5.24846912984273,5.51698213046348,4.00374135214854,4.15692554298384,4.19230320092825
"202664_at",7.05267247848284,7.78431749273658,7.46262223441975,7.3580175877623,5.51514389340851,5.75651510488785,5.72460942068406
"202665_s_at",8.0190827453384,7.81253295785755,7.76499839048719,8.36223503204004,7.44831605931808,7.46944919270525,7.52364126527216
"202666_s_at",6.38493523828699,7.45281250955015,7.29044218130042,6.26450255302075,6.51889543762181,6.79434440271866,7.30585956787919
"202667_s_at",7.1808890135715,7.72182771032459,7.58219082261548,8.03857833484711,7.57868053794387,7.31872126323075,7.8348022441607
"202668_at",7.91729578468486,8.20128338366773,8.54048980534641,8.1259050901773,8.45614214012618,8.81136447451936,8.64867113229764
"202669_s_at",7.24684664920823,7.02705099189026,7.65270427602484,7.54878705513375,7.60609070121236,7.9806269794424,7.97806526715861
"202670_at",9.63309708683037,10.188052574964,9.75932414073004,9.84762327994052,8.98396223420736,9.05433994203832,8.95361883019412
"202671_s_at",10.0644057751936,10.0628480459734,9.91852063931229,10.0105524662229,10.1106305878994,10.0272990245511,9.79960597947552
"202672_s_at",7.33922280818283,7.0519959574124,7.30545131804804,7.4284411994796,10.1491679145993,10.1576465802341,10.2797251701824
"202673_at",9.77993103367036,10.1622634988663,9.86930891867697,9.9648759088981,9.29983749372915,9.78450461456847,9.65664461178113
"202674_s_at",4.80881533871555,4.69178273674844,4.58255712116326,4.55963363118077,4.55963363118077,4.2541518516429,4.34934602188556
"202675_at",9.79239275604095,9.85245382477848,9.7230797064864,9.85245382477848,9.65041260235069,10.0157994950241,10.0541339092232
"202676_x_at",8.58168105413321,8.5411273838561,8.68340658087089,8.86019660593428,8.89960695315139,9.03281736345767,9.16179097285713
"202677_at",8.24558480675938,8.7120162113261,8.65501501813731,8.58132276057816,5.9841220275329,6.4314800700452,6.70265819081015
"202678_at",10.2333118536295,10.6790802141448,10.4891111623121,10.4125200729318,10.1433714282334,10.4793891966926,10.347426699749
"202679_at",8.64946065035743,8.42199832851027,8.38145856359261,8.21095721798347,7.72768761184992,7.75433040913473,7.93492448581071
"202680_at",8.37693808803327,8.61920364187049,8.52309172115096,8.56919353402663,7.35882275492743,8.13610575237263,8.28178184474084
"202681_at",8.17450859400675,8.21401411034427,8.33160891854264,8.26027291547532,8.23523638922393,8.21401411034427,8.17278112502173
"202682_s_at",7.67900109755779,7.44456638166609,7.9307320924917,7.75818562156398,7.26099233645379,7.91893427188283,8.05872820756749
