"","control1","control2","control3","control4","case1","case2","case3"
"217873_at",8.54151859757413,8.55757500952102,8.44700084923651,8.76342621471099,7.07866985468546,7.5501094086117,7.69701725927971
"220746_s_at",7.85193156337859,8.02771182972577,7.88749007444745,8.14441098277108,6.97002403650855,7.11234289288384,7.26254544605732
"217977_at",9.38812817795319,9.03750349086979,9.03750349086979,9.24587577627303,8.3461209847304,8.40811891328923,8.28898215233342
"219112_at",6.43059511787362,6.25941048020838,6.8030450298732,6.81457363529954,5.46222196148797,5.89886895422361,5.84515921230617
"221230_s_at",7.124949184491,7.53022295167743,7.37662079500834,7.25056818336977,6.12753519032999,6.17162622027076,6.96955739888439
"203804_s_at",8.51595395914127,9.62330137881468,9.55010375252035,9.34777304258961,9.24794802500083,9.55010375252035,10.0909366777983
"218116_at",7.75561297074603,8.140441581002,8.15263540843356,8.2781023522932,8.42887111890254,8.6281695395493,8.72680581726693
"218499_at",7.56542454770531,8.59978562350596,8.43487506855311,7.97844132652228,7.58084417937218,7.99899743862463,7.95183463313783
"218166_s_at",5.62373923051446,5.9007690821201,5.71189382449473,5.52418911911629,4.690273737678,4.72449106208552,5.01363363446194
"210878_s_at",7.89043528028097,8.32216026652642,8.08858603353431,8.08084255213602,7.07443328351529,7.06421814090356,7.0832108910394
"33760_at",6.18094167651262,6.56815949021892,6.41621355773521,6.46099339670442,5.03386144505723,4.97063373863099,4.96801021582868
"205361_s_at",8.20237609685899,9.03851564371807,8.81955128400022,8.77430080584466,8.44072712127433,8.98637290883995,8.85100528068562
"214594_x_at",5.00367152513313,5.51294132197284,5.60503767621249,5.56461695168727,5.43413054071165,5.83102649827528,5.79702393733088
"209992_at",5.52098521317659,5.33899720307733,5.44436445906383,5.63992863545128,6.20415300343968,6.23989730177362,6.13003394755167
"202464_s_at",6.52385804674695,6.63492345637217,7.00013748625444,6.65382082516669,6.11363518230407,6.67578596956728,6.89464650744719
"207335_x_at",9.40704328681447,9.92978678262534,9.72701086880178,9.6094621336869,10.0164691279457,10.1051447726177,10.1484182238936
"204604_at",8.35943943464395,8.5955503944328,8.83269136336095,8.33434561010365,7.01323977508619,7.3481723506886,7.42175527617101
"201971_s_at",8.57314048870793,8.38954991456725,7.85581446249265,7.80262320920066,8.19460698108361,8.80991073099583,7.97497021958412
"210041_s_at",7.08214701399986,7.08513971650533,6.74982893441572,6.71161964106653,5.90775034116192,6.74776833186318,6.09258536013582
"200659_s_at",9.61076392733871,9.37726027546268,9.81200515399827,10.0339952678865,10.1157791922531,10.2303027459374,10.3125786014609
"212726_at",6.89319011801706,7.02926439817497,7.40049858739193,6.95769758105999,6.14301312997676,6.17966655585193,6.21571118489583
"209438_at",5.53358416597834,6.09212583943068,6.14962247408427,6.41400911721339,6.25302274123654,6.40972421872276,6.02921036108489
"202739_s_at",6.42416543984236,6.76148003389422,6.38416185704703,5.79368146022509,6.60687435105051,6.39264527892004,6.48843455471678
"203335_at",6.89155605262474,7.18392681643872,6.59068859663085,6.50078393174049,7.3515897852187,6.69560441573436,7.13750947659937
"203691_at",6.50157430022723,7.05279179227928,6.61536457164684,6.86394000672144,8.07927389082092,7.96432058804995,7.66823718091932
"204855_at",10.9848263051502,10.6757823206377,10.0948808364003,10.1706389115915,10.1605550543564,10.0822940354315,9.8680313770155
"205352_at",8.07212150767717,7.84474625346805,7.30848272068724,7.91219563719166,8.18696139260333,7.78786501320575,8.34470446378707
"216593_s_at",8.0507761993505,7.89732334655645,7.4112181981934,7.29952244656061,8.46789339759371,8.12319745591343,8.22066197413497
"213070_at",7.51543009354903,7.80757905232465,8.00531082829547,7.11001015589917,5.82366841511289,6.60463994419196,6.62470434401741
"204297_at",7.43088321725191,7.80757142731837,7.43477677493867,7.62525111980354,6.23826097675327,6.34496985809583,6.23580855506159
"204369_at",6.1493013254195,6.12158825303807,5.67872193174267,5.88474112710328,5.12097484519473,5.23651427776457,5.2704522720136
"212688_at",6.14363503581057,6.94652417936069,6.67578596956728,6.45360138402072,5.34663179026706,5.35274495381108,5.5573547307162
"211230_s_at",6.30619710884243,6.6542604250993,6.84021326229594,7.15879216217181,6.85015042918823,7.08343772140262,6.77072788407553
"212829_at",8.20663476897583,8.23904889558181,8.05527230043376,8.37341607145897,7.32782718177213,7.45104682394827,7.38817621570474
"208502_s_at",9.03728155392018,8.09298077931277,9.04447510281816,9.44333414816395,8.52904170105237,9.08095923696139,9.30151595889703
"207558_s_at",3.38761268792348,3.97005978433207,4.08148459993915,4.08148459993915,4.24320887937874,4.08148459993915,4.42664922709981
